,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Hobyo,5.3505,48.5268,76.06,80,80,23.73,SO,1660779348
358,Båtsfjord,70.6345,29.7185,49.93,87,75,14.97,NO,1660779348
359,Lábrea,-7.2586,-64.7981,77.92,74,68,2.66,BR,1660779349
360,Taoudenni,22.6783,-3.9836,96.57,26,71,3.42,ML,1660779349
361,San Jose,37.3394,-121.895,94.87,46,75,11.5,US,1660779157
362,Ankang,32.68,109.0172,82.18,77,37,1.66,CN,1660779237
363,Piracanjuba,-17.3028,-49.0167,75.83,27,5,3.58,BR,1660779350
364,San Joaquin,37.9333,-121.3011,95.54,31,0,6.91,US,1660779148
365,Esplanada,-11.7961,-37.945,65.17,93,32,3.96,BR,1660779351
366,Morant Bay,17.8815,-76.4093,85.62,82,67,6.76,JM,1660779351
367,Hohoe,7.1518,0.4736,70.68,82,13,3.74,GH,1660779351
368,Udimskiy,61.1417,45.9144,66.0,69,88,0.94,RU,1660779352
369,Amuntai,-2.4177,115.2494,75.96,89,66,1.43,ID,1660779352
370,Bealanana,-14.55,48.7333,52.23,95,85,3.53,MG,1660779353
371,Yaguachi Nuevo,-2.1167,-79.6833,73.38,79,100,4.54,EC,1660779353
372,Lukovetskiy,64.2956,41.9211,66.52,76,47,4.7,RU,1660779353
373,Half Moon Bay,37.4636,-122.4286,88.05,64,20,12.66,US,1660779258
374,Yelabuga,55.7613,52.0649,60.35,63,8,5.37,RU,1660779354
375,Tomiño,41.9877,-8.755,63.54,91,2,7.4,ES,1660779354
376,Sárbogárd,46.8869,18.6204,74.91,43,2,5.97,HU,1660779355
377,Skjervøy,70.0311,20.9714,48.2,79,100,21.14,NO,1660779355
378,Moindou,-21.6924,165.677,63.5,83,100,4.47,NC,1660779356
379,Chocope,-7.7914,-79.2217,59.85,79,41,9.53,PE,1660779356
380,Srīvardhan,18.0333,73.0167,77.9,89,65,10.83,IN,1660779356
381,Esso,55.9333,158.7,54.7,88,100,5.01,RU,1660779357
382,Sergeevka,53.88,67.4158,43.02,84,60,6.67,KZ,1660779357
383,Soc Trang,9.6033,105.98,78.8,88,86,6.24,VN,1660779358
384,Astoria,46.1879,-123.8313,95.7,66,0,11.5,US,1660779358
385,Makkah al Mukarramah,21.4267,39.8261,88.03,54,56,8.97,SA,1660779114
386,Seymchan,62.8833,152.4333,51.67,91,100,3.53,RU,1660779359
387,Forsytheganj,52.6333,29.7333,61.41,81,31,7.11,BY,1660779359
388,Kachīry,53.0675,76.1036,43.54,93,16,7.92,KZ,1660779360
389,Saint Simons,31.1352,-81.3901,78.84,92,100,5.75,US,1660779360
390,Christchurch,-43.5333,172.6333,53.33,92,100,3.44,NZ,1660779305
391,Eureka,40.8021,-124.1637,92.68,77,30,8.99,US,1660779361
392,Okha,53.5739,142.9478,72.95,69,20,12.75,RU,1660779361
393,São Filipe,14.8961,-24.4956,78.98,75,25,8.48,CV,1660779361
394,Sambava,-14.2667,50.1667,66.15,88,49,10.13,MG,1660779362
395,Grindavik,63.8424,-22.4338,49.95,93,75,9.22,IS,1660779362
396,Saint-François,46.4154,3.9054,63.84,94,0,0.0,FR,1660779363
397,Invermere,50.5167,-116.0354,92.35,18,18,2.91,CA,1660779363
398,Nelson Bay,-32.7167,152.15,60.01,76,33,7.0,AU,1660779364
399,Otukpo,7.1913,8.1329,72.0,87,55,2.55,NG,1660779364
400,Tutóia,-2.7619,-42.2744,78.78,78,62,13.35,BR,1660779365
401,Grand-Santi,4.25,-54.3833,71.89,99,69,2.19,GF,1660779365
402,Seoul,37.5683,126.9778,76.57,83,40,3.44,KR,1660778704
403,Iskateley,67.6803,53.1512,52.38,69,60,13.56,RU,1660779366
404,Namatanai,-3.6667,152.4333,84.63,62,42,8.1,PG,1660779366
405,Kalat,29.0225,66.5916,68.88,67,99,2.93,PK,1660779367
406,Yerbogachën,61.2767,108.0108,51.49,90,99,6.33,RU,1660779367
407,San Quintín,30.4833,-115.95,75.6,74,6,10.38,MX,1660779368
408,Yuanping,38.7153,112.7575,71.62,87,96,2.66,CN,1660779368
409,Nyrob,60.733,56.7202,41.49,82,3,3.89,RU,1660779369
410,Kamenka,51.3223,42.7678,75.2,35,100,18.1,RU,1660779369
411,Galveston,29.3669,-94.9669,91.49,73,0,16.11,US,1660779206
412,Mandera,3.9366,41.867,76.19,59,62,17.36,KE,1660779370
413,Port Augusta,-32.5,137.7667,58.87,69,100,6.08,AU,1660779092
414,Havelock,34.8791,-76.9013,80.55,73,85,5.95,US,1660779371
415,Kiruna,67.8557,20.2251,43.72,87,100,10.36,SE,1660779371
416,Afrikanda,67.4429,32.7828,63.9,88,49,6.93,RU,1660779372
417,Krasnovishersk,60.4078,57.082,41.76,83,2,3.13,RU,1660779372
418,Ullapool,57.8987,-5.1604,49.84,92,100,6.76,GB,1660779373
419,Assiut,27.181,31.1837,78.98,38,0,13.29,EG,1660779373
420,Comodoro Rivadavia,-45.8667,-67.5,39.06,52,0,10.36,AR,1660779374
421,Abu Dhabi,24.4667,54.3667,89.71,80,82,3.44,AE,1660779311
422,Banikoara,11.2985,2.4386,72.1,90,15,3.62,BJ,1660779374
423,Gladstone,-23.85,151.25,66.78,58,0,5.75,AU,1660779084
424,Berlevåg,70.8578,29.0864,49.95,87,75,13.8,NO,1660779375
425,Green River,41.5286,-109.4662,86.4,22,2,5.01,US,1660779211
426,Bowen,-20.0167,148.2333,65.84,51,7,8.01,AU,1660779376
427,Iberia,29.9502,-91.7507,95.07,62,20,9.22,US,1660779376
428,Tomball,30.0972,-95.6161,99.64,45,0,6.91,US,1660779376
429,Bereda,43.2686,-7.5406,57.42,100,67,2.75,ES,1660779377
430,Souillac,-20.5167,57.5167,64.78,94,40,3.44,MU,1660779377
431,Tuy Hoa,13.0833,109.3,81.59,74,94,10.27,VN,1660779378
432,Niğde,37.8333,34.75,63.97,42,0,5.48,TR,1660779378
433,Tilichiki,60.4667,166.1,47.05,74,100,12.44,RU,1660779379
434,Kedrovyy,56.1667,91.8167,45.01,97,100,3.2,RU,1660779379
435,Badoc,17.9265,120.4764,78.71,85,100,8.81,PH,1660779380
436,La Asuncion,11.0333,-63.8628,92.93,49,0,13.8,VE,1660779380
437,Tabory,58.5198,64.5495,38.01,92,36,4.88,RU,1660779381
438,Rudnichnyy,59.617,52.4703,49.66,96,17,3.96,RU,1660779381
439,Bāndarban,22.1965,92.2262,77.36,97,43,1.54,BD,1660779382
440,Oktyabr'skiy,54.4815,53.471,54.7,70,20,4.18,RU,1660779382
441,Departamento de Maldonado,-34.6667,-54.9167,50.23,86,80,11.27,UY,1660779383
442,Bodden Town,19.2833,-81.25,86.0,73,20,5.75,KY,1660779383
443,Pinawa,50.1489,-95.8811,78.89,57,86,2.66,CA,1660779384
444,Baykit,61.67,96.37,53.92,78,62,2.73,RU,1660779384
445,Kumul,42.8,93.45,66.09,58,8,5.55,CN,1660779384
446,Butka,56.7179,63.7866,40.39,95,35,5.03,RU,1660779385
447,Port-Gentil,-0.7193,8.7815,75.16,83,40,4.61,GA,1660779386
448,Tongchuanshi,35.0806,109.0897,78.8,74,53,3.76,CN,1660779386
449,Cooma,-36.2333,149.1333,49.33,68,100,8.46,AU,1660779386
450,Joshīmath,30.5667,79.5667,67.95,89,94,1.59,IN,1660779387
451,Rumoi,43.9344,141.6428,70.81,77,88,7.29,JP,1660779387
452,Salta,-24.7859,-65.4117,55.99,47,0,11.5,AR,1660779345
453,Maués,-3.3836,-57.7186,83.03,54,59,1.36,BR,1660779388
454,Bato,13.3528,123.3677,80.76,85,100,3.09,PH,1660779388
455,Ostrovnoy,68.0531,39.5131,64.81,71,2,17.69,RU,1660779389
456,Palafrugell,41.9174,3.1631,75.42,54,21,13.0,ES,1660779363
457,Zaysan,47.4667,84.8667,52.29,36,11,7.43,KZ,1660779389
458,Bilma,18.6853,12.9164,93.31,14,12,4.16,NE,1660779390
459,Yar-Sale,66.8333,70.8333,47.23,85,56,16.93,RU,1660779390
460,Safi,32.2994,-9.2372,68.65,77,0,17.63,MA,1660779391
461,Roquebrune-Cap-Martin,43.7641,7.4821,74.57,70,70,9.01,FR,1660779391
462,Makubetsu,45.3714,141.8211,72.16,80,39,9.15,JP,1660779392
463,Okhotsk,59.3833,143.3,60.24,81,92,8.68,RU,1660779392
464,Kyrylivka,46.3759,35.3675,76.03,73,42,8.52,UA,1660779392
465,Turan,16.0678,108.2208,78.78,94,20,1.14,VN,1660779393
466,Tlapacoyan,19.9667,-97.2167,77.09,89,76,0.83,MX,1660779393
467,San Luis,-33.295,-66.3356,46.02,24,9,14.56,AR,1660779396
468,Meulaboh,4.1363,96.1285,75.97,87,95,3.27,ID,1660779396
469,Golden,39.7555,-105.2211,84.96,27,40,6.91,US,1660779359
470,Broome,42.2506,-75.833,65.62,88,100,8.05,US,1660779397
471,Kargopol',61.5071,38.9456,64.31,76,71,3.36,RU,1660779397
472,North Platte,41.1239,-100.7654,80.11,56,20,8.05,US,1660779398
473,Bonavista,48.6499,-53.1147,59.7,88,100,15.79,CA,1660779398
474,Teguise,29.0605,-13.564,70.02,68,20,14.97,ES,1660779399
475,Jieshi,22.8134,115.8257,82.53,76,94,3.24,CN,1660779399
476,Abhā,18.2164,42.5053,67.82,60,0,0.0,SA,1660779400
477,Umarkhed,19.6,77.7,72.86,86,17,7.94,IN,1660779400
478,Srednekolymsk,67.45,153.6833,59.83,60,99,3.74,RU,1660779400
479,Banda Aceh,5.5577,95.3222,79.02,81,91,8.79,ID,1660779401
480,Mareeba,-17.0,145.4333,69.48,67,45,5.03,AU,1660779401
481,Acaraú,-2.8856,-40.12,78.37,77,17,20.6,BR,1660779402
482,Geneva,41.8875,-88.3054,79.25,56,0,8.05,US,1660779120
483,Springdale,36.1867,-94.1288,71.71,87,100,12.66,US,1660779149
484,Yaya,56.206,86.44,47.34,97,100,4.97,RU,1660779403
485,Chichimila,20.6167,-88.2167,86.02,53,100,3.83,MX,1660779403
486,Mayo,38.8876,-76.5119,73.98,88,75,5.75,US,1660779403
487,Pangnirtung,66.1451,-65.7125,48.2,81,20,6.91,CA,1660779404
488,Yumen,40.2833,97.2,65.55,60,75,21.45,CN,1660779404
489,Dengzhou,37.8086,120.7508,76.66,74,58,7.25,CN,1660779405
490,Disna,55.568,28.1971,63.86,82,39,5.86,BY,1660779405
491,Zhanakorgan,43.9098,67.2495,70.3,26,0,12.77,KZ,1660779406
492,Bull Savanna,17.8868,-77.5902,80.33,74,72,6.64,JM,1660779406
493,Messaria,36.3985,25.4459,79.0,57,0,9.22,GR,1660779406
494,Copiapó,-27.3667,-70.3333,51.49,62,5,3.49,CL,1660779183
495,Tonj,7.2737,28.6822,68.7,96,99,4.34,SS,1660779407
496,Richards Bay,-28.783,32.0377,66.54,83,100,13.06,ZA,1660779407
497,Fairview,40.8126,-73.999,78.06,52,100,4.61,US,1660779408
498,Marzuq,14.4,46.4667,79.23,59,98,6.44,YE,1660779408
499,Marrakesh,31.6315,-8.0083,73.47,60,0,5.75,MA,1660779409
500,Omsukchan,62.5333,155.8,44.74,91,100,7.23,RU,1660779409
501,The Valley,18.217,-63.0578,83.82,78,40,5.75,AI,1660779409
502,Hammerfest,70.6634,23.6821,48.65,100,100,6.91,NO,1660779410
503,Schisma Eloundas,35.2667,25.7167,80.83,61,0,10.76,GR,1660779410
504,Cap Malheureux,-19.9842,57.6142,65.46,84,0,4.0,MU,1660779411
505,Aleksinac,43.5417,21.7078,68.29,60,0,3.42,RS,1660779411
506,Kalabo,-14.97,22.6814,60.51,32,4,3.87,ZM,1660779412
507,Cap-aux-Meules,47.3821,-61.8597,64.45,94,100,24.16,CA,1660779412
508,Sokoto,13.0609,5.239,79.14,75,86,6.06,NG,1660779412
509,Batemans Bay,-35.7167,150.1833,54.1,69,100,6.42,AU,1660779413
510,Tevaitoa,-16.7833,-151.5,72.1,78,100,8.93,PF,1660779413
511,Alice Springs,-23.7,133.8833,65.75,18,4,12.66,AU,1660779414
512,Erenhot,43.6475,111.9767,70.65,51,100,14.45,CN,1660779414
513,Beira,-19.8436,34.8389,65.19,92,3,6.91,MZ,1660779414
514,Nizip,37.0097,37.7942,78.93,53,0,6.55,TR,1660779415
515,Lima,-12.0432,-77.0282,59.9,83,100,11.5,PE,1660779239
516,Itoman,26.1247,127.6694,86.4,81,20,18.41,JP,1660779415
517,Aljezur,37.3191,-8.8033,61.34,81,0,13.09,PT,1660779416
518,Tazovsky,67.4667,78.7,47.44,88,11,10.76,RU,1660779416
519,Aksarka,66.5606,67.7975,44.35,76,96,14.05,RU,1660779416
520,Zyryanka,65.75,150.85,58.08,72,99,10.04,RU,1660779417
521,Benito Juarez,19.385,-99.165,73.22,40,75,5.75,MX,1660779417
522,Istanbul,41.0351,28.9833,75.36,78,0,2.3,TR,1660779180
523,Edmond,35.6528,-97.4781,78.71,72,89,5.99,US,1660779126
524,Beyneu,45.3167,55.2,75.78,25,1,9.31,KZ,1660779418
525,Ken Caryl,39.5773,-105.1169,83.98,24,5,3.0,US,1660779418
526,Maputo,-25.9653,32.5892,69.48,32,0,5.75,MZ,1660779396
527,Viedma,-40.8135,-62.9967,41.23,68,8,13.09,AR,1660779419
528,Durban,-29.8579,31.0292,66.02,68,100,5.01,ZA,1660779420
529,Ahvāz,31.3203,48.6693,91.35,66,0,6.91,IR,1660779360
530,Puri,19.8,85.85,82.92,79,100,9.89,IN,1660779420
531,Rodrigues Alves,-7.738,-72.6509,82.6,73,67,2.48,BR,1660779421
532,Alofi,-19.0595,-169.9187,76.89,47,40,23.02,NU,1660779421
533,Kenora,49.8167,-94.4337,81.57,61,75,9.22,CA,1660779422
534,Pāsighāt,28.0667,95.3333,78.96,89,94,1.99,IN,1660779422
535,Port Hawkesbury,45.6169,-61.3485,66.58,99,100,10.36,CA,1660779423
536,Kyzyl-Suu,42.3414,78.0056,58.41,52,2,3.65,KG,1660779423
537,Vazhiny,60.9644,34.0222,62.82,75,16,3.89,RU,1660779424
538,Mpraeso,6.5932,-0.7346,66.42,85,19,3.31,GH,1660779424
539,Odienné,9.51,-7.5692,69.24,97,29,3.83,CI,1660779424
540,Languyan,5.2618,120.0807,80.71,85,100,3.31,PH,1660779425
541,Tessalit,20.1986,1.0114,88.43,44,17,17.45,ML,1660779425
542,Harper,4.375,-7.7169,75.49,75,89,7.45,LR,1660779426
543,Port Hardy,50.6996,-127.4199,71.78,68,0,12.66,CA,1660779427
544,Machiques,10.0644,-72.545,80.02,73,6,4.16,VE,1660779427
545,Yangi Marg`ilon,40.4272,71.7189,74.12,40,12,2.3,UZ,1660779427
546,Klyuchi,52.2667,79.1667,46.18,78,28,7.45,RU,1660779428
547,Mahabalipuram,12.6264,80.1722,80.06,79,100,11.7,IN,1660779428
548,Korla,41.7597,86.1469,66.7,65,55,2.3,CN,1660779429
549,Brockville,44.5834,-75.6826,74.14,63,100,3.0,CA,1660779429
550,Shangzhi,45.2167,127.9667,71.42,78,27,9.35,CN,1660779430
551,Mumbwa,-14.9783,27.0619,60.46,47,4,4.18,ZM,1660779430
552,Glazov,58.1394,52.6584,52.93,97,42,5.03,RU,1660779431
553,Clyde River,70.4692,-68.5914,43.03,87,75,4.61,CA,1660779431
554,Biskamzha,53.4497,89.5272,42.06,98,98,2.3,RU,1660779432
555,Mingshui,36.7167,117.5,80.28,81,80,10.22,CN,1660779432
556,São Gabriel da Cachoeira,-0.1303,-67.0892,76.44,86,64,0.63,BR,1660779433
557,Rundu,-17.9333,19.7667,59.63,22,11,3.38,NA,1660779433
558,Ojinaga,29.5667,-104.4167,88.75,55,0,12.66,MX,1660779434
559,Santa Rosa,14.3122,121.1114,84.18,93,100,0.74,PH,1660779414
560,Kavieng,-2.5744,150.7967,84.24,69,100,13.56,PG,1660779434
561,Yangjiang,21.85,111.9667,80.98,85,47,3.22,CN,1660779435
562,Ust-Kuyga,70.0167,135.6,61.07,52,46,4.61,RU,1660779435
563,Borovoy,55.4333,86.0833,47.48,93,40,4.47,RU,1660779436
564,Ust'-Ilimsk,58.0006,102.6619,48.65,96,100,9.06,RU,1660779436
565,Qinzhou,21.95,108.6167,82.44,82,34,4.38,CN,1660779437
566,Dzaoudzi,-12.7887,45.2699,73.29,94,20,3.44,YT,1660779437
567,Hambantota,6.1241,81.1185,77.04,87,93,13.22,LK,1660779438
568,Chapais,49.7834,-74.8492,73.18,46,60,3.0,CA,1660779438
569,Moyale,3.5167,39.0584,67.59,58,94,12.35,KE,1660779439
570,Banfora,10.6333,-4.7667,71.65,94,16,4.23,BF,1660779439
571,Ghanzi,-21.5667,21.7833,61.21,16,47,9.66,BW,1660779440
572,Vologda,59.2187,39.8886,61.39,78,48,5.5,RU,1660779440
573,Porto Murtinho,-21.6989,-57.8825,82.6,49,82,8.08,BR,1660779440
574,Atar,20.5169,-13.0499,95.36,35,10,8.32,MR,1660779441
575,Thunder Bay,48.4001,-89.3168,71.58,83,75,2.3,CA,1660779441
576,Grand Island,40.925,-98.342,80.55,41,0,6.91,US,1660779442
577,Flagstaff,35.1981,-111.6513,69.53,79,75,5.75,US,1660779361
578,Saint-Paul,-21.0096,55.2707,65.73,74,1,1.95,RE,1660779443
579,Nyurba,63.2842,118.3319,51.12,97,100,6.08,RU,1660779443
580,Karratha,-20.7377,116.8463,66.52,47,31,13.04,AU,1660779444
581,Balikpapan,-1.2675,116.8289,77.99,94,40,5.75,ID,1660779444
582,Anito,12.4497,125.2886,80.85,83,67,5.93,PH,1660779445
583,Zhoucheng,35.9122,116.3117,78.78,85,82,11.23,CN,1660779445
584,Kiama,-34.6833,150.8667,59.25,71,80,5.99,AU,1660779446
